epoch,time,lr,loss,acc,val_loss,val_acc
1,70.4600773330003,0.001,0.056368231569493374,98.14126394052045,0.01117161646069697,99.50413223140495
2,66.08811483299996,0.001,0.01963909117122962,99.44237918215613,0.007313215137220734,99.83471074380165
3,65.91516808300003,0.001,0.007867916853365518,99.69021065675341,0.0019390812967249678,100.0
4,65.75214058299935,0.001,0.006235170496634613,99.81412639405204,0.029116992726306284,98.51239669421487
5,65.77653658300005,0.001,0.004427024181950965,99.87608426270137,0.005321499562946395,99.83471074380165
6,65.87510479200046,0.001,0.013134423638481931,99.50433705080545,0.009788914210036059,99.50413223140495
7,65.81082583399984,0.001,0.0024873283667661457,99.93804213135068,0.0006403301208840937,100.0
8,65.86824266699932,0.001,0.00042681233289957205,100.0,0.00015531702370364566,100.0
9,65.82342100000005,0.001,7.180393764746091e-05,100.0,0.00013718265980676447,100.0
10,65.75473787499959,0.001,5.973202280449392e-05,100.0,0.00012193882533864787,100.0
11,65.9582485840001,0.001,7.598192437461107e-05,100.0,7.687859749036634e-05,100.0
12,65.98605370799942,0.001,4.05764479256842e-05,100.0,6.850394383494979e-05,100.0
13,65.97482866700011,0.001,8.072614515703753e-05,100.0,9.395873646948424e-05,100.0
14,66.07298370799981,0.001,3.059376131719438e-05,100.0,0.00010681493954169218,100.0
15,66.1625332499998,0.001,0.00012129414741039117,100.0,7.012582639520189e-05,100.0
16,67.4124719170004,0.001,7.183196227060292e-05,100.0,2.9401898509679672e-05,100.0
17,68.30071075000069,0.001,3.9876750220945563e-05,100.0,2.4156212384696117e-05,100.0
18,68.08871133299999,0.001,2.174758095892191e-05,100.0,1.4597233734815188e-05,100.0
19,66.58530220800003,0.001,6.97599990110529e-05,100.0,0.011764749852879827,99.6694214876033
20,66.04019420899931,0.001,3.654813418010561e-05,100.0,0.00012473849062888436,100.0
21,66.15595308400043,0.001,2.123396592266576e-05,100.0,0.00029933902518291123,100.0
22,65.94872966599996,0.001,2.3361090788343364e-05,100.0,9.150167427209499e-05,100.0
23,65.87182004100032,0.001,0.03652127915202499,98.82280049566295,0.36171217050926746,87.93388438579464
24,65.91009212500012,0.001,0.005213028166400025,99.87608426270137,0.005157176743565543,99.83471074380165
25,65.76056737499948,0.0001,0.0013459203717063751,99.9793473771169,0.002855378284969575,99.83471074380165
26,65.94583579199934,0.0001,0.0006030789251267704,100.0,0.001977514894163558,99.83471074380165
27,65.92510975000005,0.0001,0.0007137941041460645,99.9793473771169,0.002891052268316629,99.83471074380165
28,65.93287629100087,0.0001,0.0005308556826042524,100.0,0.00377458433561943,99.83471074380165
29,65.8657539170008,0.0001,0.00017420095125657962,100.0,0.002697823299980176,99.83471052942197
30,66.3174207080001,0.0001,0.00024596390794583346,100.0,0.0035515687054875574,99.83471074380165
31,66.34883775000071,1e-05,0.0002454963154267318,100.0,0.003235245209001101,99.83471074380165
32,67.02794233300028,1e-05,0.00035053276010531574,100.0,0.003493004944367904,99.83471074380165
33,70.05589012499968,1e-05,0.0003256036208875163,100.0,0.002451819547092203,99.83471074380165
34,78.96182804199998,1e-05,0.00021108210196265414,100.0,0.002248393248358726,99.83471052942197
35,66.5892458749995,1e-05,0.0006478168430344357,99.9793473771169,0.0021397800326216506,99.83471074380165
36,66.8436386250005,1e-05,0.0002498780097835405,100.0,0.0024290816816318517,99.83471074380165
37,66.69803824999963,1.0000000000000002e-06,0.00023794883958140763,100.0,0.003086790065469907,99.83471074380165
38,66.29009270799997,1.0000000000000002e-06,0.0002500870552131853,100.0,0.0014806655020075889,99.83471074380165
39,66.56871045800017,1.0000000000000002e-06,0.0004956582221169855,100.0,0.0026525803602505996,99.83471074380165
40,66.3233175409996,1.0000000000000002e-06,0.00021078084198800946,100.0,0.0024621226679857108,99.83471074380165
