model_name,trunc_blocks,accuracy_mean,accuracy_lower_ci,accuracy_upper_ci,f1_score_mean,f1_score_lower_ci,f1_score_upper_ci,sensitivity_mean,sensitivity_lower_ci,sensitivity_upper_ci,specificity_mean,specificity_lower_ci,specificity_upper_ci,loss_mean,loss_lower_ci,loss_upper_ci
truncated_b0_reduced_layers_0_2025-03-10_13-48,0,97.24471933,96.77754678,97.69230769,0.971641593,0.96714009,0.976104134,0.987050611,0.982342434,0.991552695,0.956718018,0.948186301,0.964563699,0.090692616,0.073801993,0.108002634
truncated_b0_act1_reduced_layers_3_2025-03-16_13-28,3,97.3924948,96.94334719,97.83783784,0.973038643,0.96821149,0.977716836,0.989652115,0.985317177,0.993227764,0.956984905,0.948694803,0.964807025,0.071864601,0.059795442,0.083496446
